ts,interval,angle,angular_velocity,cart_friction,cart_x,cart_velocity,impulse,input_left,input_right
1687224145.1495574,0.0020833333333333333,0.2617993877991494,0.0,0.0,0.0,0.12748182093144833,0.0,False,False
1687224145.1561449,0.0020833333333333333,0.26176181047556657,-0.018037115319762265,0.0,0.0002655871269325871,0.2549484286388718,0.0,False,False
1687224145.170749,0.0020833333333333333,0.26168666107198985,-0.0360717137168276,0.0,0.0007967296866127072,0.3823859295366178,0.0,False,False
1687224145.1873314,0.0020833333333333333,0.2615739500665061,-0.05410128263220848,0.0,0.0015933670398453614,0.5097804238822977,0.0,False,False
1687224145.2044683,0.0020833333333333333,0.2614236931709993,-0.07212330984326165,0.0,0.002655409589578994,0.6371180021829268,0.0,False,False
1687224145.2217884,0.0020833333333333333,0.2612359113299105,-0.09013528372262769,0.0,0.003982738760782922,0.7643847416214368,0.0,False,False
1687224145.237668,0.0020833333333333333,0.2610106307184666,-0.10813469349306715,0.0,0.005575206972480373,0.8915667025107299,0.0,False,False
1687224145.27052,0.0020833333333333333,0.2607478827403672,-0.1261190294877057,0.0,0.007432637602732939,1.0186499247823286,0.0,False,False
1687224145.3062031,0.0020833333333333333,0.26044770402493467,-0.1440857834076148,0.0,0.009554824946008011,1.1456204245166308,0.0,False,False
1687224145.3393152,0.0020833333333333333,0.26011013642372366,-0.16203244858128407,0.0,0.01194153416372501,1.272464190521881,0.0,False,False
1687224145.358928,0.0020833333333333333,0.25973522700658647,-0.1799565202258524,0.0,0.014592501227298271,1.3991671809686506,0.0,False,False
1687224145.3968303,0.0020833333333333333,0.25932302805719654,-0.19785549570716654,0.0,0.01750743285435874,1.5257153200868825,0.0,False,False
1687224145.4223852,0.0020833333333333333,0.2588735970680238,-0.21572687480290398,0.0,0.020686006437927063,1.6520944949322076,0.0,False,False
1687224145.4562948,0.0020833333333333333,0.25838699673476206,-0.2335681599656425,0.0,0.024127869968992854,1.7782905522283647,0.0,False,False
1687224145.4881759,0.0020833333333333333,0.25786329495020294,-0.25137685658838116,0.0,0.027832641952841186,1.9042892952923574,0.0,False,False
1687224145.504304,0.0020833333333333333,0.2573025647975599,-0.26915047326864894,0.0,0.03179991131798943,2.0300764810489667,0.0,False,False
1687224145.5209026,0.0020833333333333333,0.25670488454323176,-0.2868865220775163,0.0,0.036029237320121865,2.1556378171411064,0.0,False,False
1687224145.5379064,0.0020833333333333333,0.2560703376290081,-0.3045825188273543,0.0,0.040520149439203124,2.2809589591424033,0.0,False,False
1687224145.5549757,0.0020833333333333333,0.2553990126637121,-0.3222359833420718,0.0,0.04527214727079354,2.4060255078783284,0.0,False,False
1687224145.5712032,0.0020833333333333333,0.25469100341427714,-0.3398444397287914,0.0,0.05028470041224864,2.5308230068619713,0.0,False,False
1687224145.5884109,0.0020833333333333333,0.25394640879625213,-0.35740541665200354,0.0,0.05555724834323428,2.655336939850645,0.0,False,False
1687224145.6044178,0.0020833333333333333,0.25316533286373727,-0.3749164476071343,0.0,0.061089200301239543,2.779552728529042,0.0,False,False
1687224145.6234083,0.0020833333333333333,0.25234788479874004,-0.39237507119866954,0.0,0.06687993515231483,2.9034557303249398,0.0,False,False
1687224145.6561494,0.0020833333333333333,0.25149417889995196,-0.4097788314182793,0.0,0.07292880125714873,3.027031236362912,0.0,False,False
1687224145.68982,0.0020833333333333333,0.2506043345709413,-0.42712527792512667,0.0,0.07923511633293856,3.1502644695616486,0.0,False,False
1687224145.705785,0.0020833333333333333,0.24967847630775783,-0.44441196632805546,0.0,0.08579816731116807,3.2731405828801576,0.0,False,False
1687224145.7365444,0.0020833333333333333,0.24871673368594258,-0.46163645847132173,0.0,0.09261721019220204,3.395644657718033,0.0,False,False
1687224145.788771,0.0020833333333333333,0.24771924134694462,-0.4787963227190195,0.0,0.09969146989578803,3.5177617024747767,0.0,False,False
1687224145.856416,0.0020833333333333333,0.24668613898393452,-0.49588913424484904,0.0,0.10702014010928451,3.639476651273001,0.0,False,False
1687224145.921809,0.0020833333333333333,0.24561757132701156,-0.5129124753230174,0.0,0.11460238313281934,3.7607743628501225,0.0,False,False
1687224145.9240036,0.0020833333333333333,0.2445136881278056,-0.5298639356188595,0.0,0.1224373297220609,3.8816396196230194,0.0,False,False
1687224145.988904,0.0020833333333333333,0.24337464414345836,-0.5467411124866794,0.0,0.13052407892962492,4.002057126929864,0.0,False,False
1687224146.0553265,0.0020833333333333333,0.24220059911999126,-0.5635416112642089,0.0,0.13886169794409398,4.122011512453204,0.0,False,False
1687224146.1204982,0.0020833333333333333,0.24099171777504802,-0.5802630455727531,0.0,0.14744922192835475,4.241487325828112,0.0,False,False
1687224146.1897826,0.0020833333333333333,0.23974816978000787,-0.5969030376192697,0.0,0.15628565385713955,4.360469038439006,0.0,False,False
1687224146.3212738,0.0020833333333333333,0.2384701297414668,-0.6134592184997123,0.0,0.16536996435388573,4.478941043408562,0.0,False,False
1687224146.388008,0.0020833333333333333,0.23715777718208303,-0.6299292285042135,0.0,0.17470109152770874,4.596887655781904,0.0,False,False
1687224146.3897986,0.0020833333333333333,0.23581129652077853,-0.6463107174261573,0.0,0.18427794081060256,4.714293112908956,0.0,False,False
1687224146.4563272,0.0020833333333333333,0.23443087705229348,-0.6626013448728241,0.0,0.19409938479577704,4.831141575027724,0.0,False,False
1687224146.5203931,0.0020833333333333333,0.23301671292608866,-0.6787987805783136,0.0,0.2041642630771321,4.947417126050922,0.0,False,False
1687224146.5887647,0.0020833333333333333,0.23156900312459522,-0.6949007047168543,0.0,0.21447138208975502,5.063103774558201,0.0,False,False
1687224146.7197075,0.0020833333333333333,0.23008795144079902,-0.7109048082221747,0.0,0.2250195149533738,5.1781854549958855,0.0,False,False
1687224146.7711244,0.0020833333333333333,0.228573766455162,-0.7268087931057687,0.0,0.2358074013179703,5.292646029085998,0.0,False,False
1687224146.7727222,0.0020833333333333333,0.2270266615118721,-0.7426103727791578,0.0,0.24683374721189466,5.4064692874459555,0.0,False,False
1687224146.8215003,0.0020833333333333333,0.22544685469442027,-0.7583072723768725,0.0,0.2580972248940725,5.519638951420162,0.0,False,False
1687224146.8727005,0.0020833333333333333,0.22383456880049576,-0.7738972290837642,0.0,0.2695964727095088,5.6321386751244,0.0,False,False
1687224146.9209116,0.0020833333333333333,0.22219003131620096,-0.7893779924615041,0.0,0.2813300949493396,5.743952047703655,0.0,False,False
1687224146.9715195,0.0020833333333333333,0.2205134743895758,-0.8047473247800774,0.0,0.2932966617154307,5.8550625958037825,0.0,False,False
1687224147.0213351,0.0020833333333333333,0.2188051348034324,-0.8200030013488391,0.0,0.3054947087899791,5.965453786257036,0.0,False,False
1687224147.0723855,0.0020833333333333333,0.2170652539474916,-0.835142810851579,0.0,0.3179227375113669,6.075109028981375,0.0,False,False
1687224147.1381676,0.0020833333333333333,0.21529407778982143,-0.8501645556816806,0.0,0.3305792146551312,6.1840116800929765,0.0,False,False
1687224147.2053585,0.0020833333333333333,0.21349185684757105,-0.8650660522801834,0.0,0.3434625723219824,6.292145045231262,0.0,False,False
1687224147.2549357,0.0020833333333333333,0.21165884615699632,-0.8798451314758715,0.0,0.35657120783287155,6.399492383095397,0.0,False,False
1687224147.2885952,0.0020833333333333333,0.20979530524277568,-0.8944996388259074,0.0,0.369903483630992,6.506036909190887,0.0,False,False
1687224147.3545039,0.0020833333333333333,0.20790149808661107,-0.9090274349590111,0.0,0.38345772719185334,6.611761799784722,0.0,False,False
1687224147.3711877,0.0020833333333333333,0.20597769309511138,-0.9234263959198508,0.0,0.3972322309414267,6.716650196067107,0.0,False,False
1687224147.3887758,0.0020833333333333333,0.20402416306695492,-0.9376944135151,0.0,0.41122525218327155,6.820685208517609,0.0,False,False
1687224147.4049852,0.0020833333333333333,0.20204118515932887,-0.9518293956605062,0.0,0.42543501303430276,6.923849921473232,0.0,False,False
1687224147.421583,0.0020833333333333333,0.2000290408536425,-0.9658292667294521,0.0,0.43985970037067545,7.0261273978956575,0.0,False,False
1687224147.4388726,0.0020833333333333333,0.19798801592051218,-0.9796919679025562,0.0,0.45449746578299255,7.127500684334555,0.0,False,False
1687224147.4551535,0.0020833333333333333,0.19591840038401578,-0.9934154575182719,0.0,0.46934642554197126,7.227952816083636,0.0,False,False
1687224147.4723265,0.0020833333333333333,0.19382048848521274,-1.0069977114254591,0.0,0.4844046605754784,7.327466822525836,0.0,False,False
1687224147.4886837,0.0020833333333333333,0.19169457864493303,-1.0204367233342637,0.0,0.49967021645579734,7.426025732663641,0.0,False,False
1687224147.5056553,0.0020833333333333333,0.1895409734258286,-1.0337305051701273,0.0,0.5151411033988325,7.523612580830434,0.0,False,False
1687224147.5222569,0.0020833333333333333,0.18735997949368657,-1.0468770874281708,0.0,0.5308152962755912,7.620210412578326,0.0,False,False
1687224147.5390275,0.0020833333333333333,0.18515190757800745,-1.0598745195259784,0.0,0.5466907346351491,7.715802290737745,0.0,False,False
1687224147.5568736,0.0020833333333333333,0.1829170724318426,-1.0727208701591273,0.0,0.5627653227408018,7.810371301643742,0.0,False,False
1687224147.571778,0.0020833333333333333,0.18065579279089347,-1.0854142276555834,0.0,0.5790369296191784,7.903900561523736,0.0,False,False
1687224147.5892646,0.0020833333333333333,0.17836839133187263,-1.097952700330005,0.0,0.5955033891223138,7.9963732230411235,0.0,False,False
1687224147.60599,0.0020833333333333333,0.17605519463012542,-1.1103344168386586,0.0,0.6121625000037056,8.087772481988956,0.0,False,False
1687224147.6234314,0.0020833333333333333,0.17371653311651417,-1.1225575265334031,0.0,0.6290120260078993,8.178081584127609,0.0,False,False
1687224147.639457,0.0020833333333333333,0.1713527410335641,-1.1346201998160321,0.0,0.6460496959748525,8.26728383216012,0.0,False,False
1687224147.6555293,0.0020833333333333333,0.16896415639087528,-1.1465206284906326,0.0,0.6632732039585107,8.35536259283867,0.0,False,False
1687224147.6734822,0.0020833333333333333,0.1665511209197977,-1.1582570261172354,0.0,0.6806802093602755,8.442301304195396,0.0,False,False
1687224147.6902325,0.0020833333333333333,0.16411398002737673,-1.1698276283620679,0.0,0.6982683370773657,8.528083482890517,0.0,False,False
1687224147.7066026,0.0020833333333333333,0.161653082749566,-1.1812306933491534,0.0,0.716035177666754,8.612692731670567,0.0,False,False
1687224147.7232368,0.0020833333333333333,0.15916878170371404,-1.1924645020089386,0.0,0.7339782875244509,8.696112746929282,0.0,False,False
1687224147.7402375,0.0020833333333333333,0.1566614330403263,-1.203527358426122,0.0,0.7520951890805918,8.77832732636346,0.0,False,False
1687224147.7724655,0.0020833333333333333,0.1541313963941062,-1.2144175901856435,0.0,0.7703833710105528,8.85932037671602,0.0,False,False
1687224147.8046167,0.0020833333333333333,0.15157903483427757,-1.2251335487177428,0.0,0.7888402884620973,8.93907592159819,0.0,False,False
1687224147.8216825,0.0020833333333333333,0.14900471481419492,-1.2356736096396714,0.0,0.8074633632987798,9.017578109382612,0.0,False,False
1687224147.8386192,0.0020833333333333333,0.14640880612024498,-1.246036173095968,0.0,0.8262499843599471,9.09481122115905,0.0,False,False
1687224147.8558366,0.0020833333333333333,0.1437916818200429,-1.2562196640970003,0.0,0.845197507737339,9.17075967874417,0.0,False,False
1687224147.8721626,0.0020833333333333333,0.14115371820993206,-1.266222532853205,0.0,0.8643032570680589,9.245408052736677,0.0,False,False
1687224147.8890054,0.0020833333333333333,0.13849529476178923,-1.2760432551085543,0.0,0.8835645238445977,9.318741070609098,0.0,False,False
1687224147.9055243,0.0020833333333333333,0.13581679406914374,-1.2856803324698385,0.0,0.902978567741684,9.390743624827229,0.0,False,False
1687224147.9229321,0.0020833333333333333,0.13311860179261523,-1.295132292733685,0.0,0.9225426169600723,9.461400780988269,0.0,False,False
1687224147.9387069,0.0020833333333333333,0.13040110660467955,-1.304397690209127,0.0,0.9422538685871586,9.53069778596848,0.0,False,False
1687224147.95596,0.0020833333333333333,0.1276647001337664,-1.3134751060383065,0.0,0.9621094889746473,9.59862007607121,0.0,False,False
1687224147.9730453,0.0020833333333333333,0.1249097769077011,-1.3223631485113496,0.0,0.9821066141331585,9.665153285165951,0.0,False,False
1687224147.9897208,0.0020833333333333333,0.12213673429649352,-1.3310604533796355,0.0,1.002242350143888,9.730283252809143,0.0,False,False
1687224148.006076,0.0020833333333333333,0.11934597245448626,-1.339565684163484,0.0,1.0225137735872067,9.793996032337299,0.0,False,False
