ts,interval,angle,angular_velocity,cart_friction,cart_x,cart_velocity,input_left,input_right
1686683023.92694,0.016666666666666666,14.999999999999998,-1.7763568394002505e-15,0.0,0.0,1.0198545674515866,False,False
1686683023.9436975,0.016666666666666666,14.862206854601434,-0.13779314539856458,0.0,0.016997576124140323,2.0319310248827684,False,False
1686683023.960453,0.016666666666666666,14.587854152163844,-0.27435270243758936,0.0,0.05086309320552118,3.0290770432699605,False,False
1686683023.9772878,0.016666666666666666,14.17940281774617,-0.40845133441767345,0.0,0.1013477105933589,4.003948607660959,False,False
1686683023.9940548,0.016666666666666666,13.640528391590026,-0.5388744261561449,0.0,0.16808018738765895,4.948929546994345,False,False
1686683024.0107362,0.016666666666666666,12.976098171587655,-0.6644302200023713,0.0,0.25056234650423903,5.8560905949094595,False,False
1686683024.0274234,0.016666666666666666,12.192137585526263,-0.7839605860613919,0.0,0.3481638564194327,6.71719759295116,False,False
1686683024.0441797,0.016666666666666666,11.29578523541578,-0.8963523501104831,0.0,0.4601171496352663,7.523774746916058,False,False
1686683024.060937,0.016666666666666666,10.295236204356453,-1.000549031059327,0.0,0.5855133954172516,8.267224438820683,False,False
1686683024.077684,0.016666666666666666,9.199673434041005,-1.095562770315448,0.0,0.7233004693976,8.939000253366471,False,False
1686683024.0944448,0.016666666666666666,8.019187260218942,-1.1804861738220627,0.0,0.8722838069537602,9.530824963025653,False,False
1686683024.111205,0.016666666666666666,6.764683520551613,-1.2545037396673289,0.0,1.0311308896708624,10.034940666946357,False,False
1686683024.1279597,0.016666666666666666,5.447781005137642,-1.3169025154139709,0.0,1.1983799007866764,10.444374565836574,False,False
1686683024.1447067,0.016666666666666666,4.080699381161922,-1.3670816239757206,0.0,1.3724528102172826,10.753201423564079,False,False
1686683024.161489,0.016666666666666666,2.676139063612867,-1.4045603175490546,0.0,1.5516728339433712,10.956782970607502,False,False
1686683024.1793842,0.016666666666666666,1.24715479756556,-1.428984266047307,0.0,1.734285883453481,11.051965542648524,False,False
1686683024.1961472,0.016666666666666666,-0.19297505970340767,-1.4401298572689676,0.0,1.918485309164339,11.037220112957703,False,False
1686683024.2129047,0.016666666666666666,-1.6308814352516023,-1.4379063755481947,0.0,2.102438977713632,10.912713339602563,False,False
1686683024.2296515,0.016666666666666666,-3.0532374617166105,-1.4223560264650081,0.0,2.2843175333737236,10.68030387134117,False,False
1686683024.2464063,0.016666666666666666,-4.446889340081326,-1.3936518783647158,0.0,2.4623225978961045,10.343464349870501,False,False
1686683024.263149,0.016666666666666666,-5.798983227607337,-1.352093887526011,0.0,2.6347136703939213,9.90713564940922,False,False
1686683024.2799242,0.016666666666666666,-7.097086481711688,-1.2981032541043511,0.0,2.7998325978841194,9.377525267277202,False,False
1686683024.296673,0.016666666666666666,-8.329301895290795,-1.232215413579107,0.0,2.95612468567208,8.761865890071753,False,False
1686683024.3134143,0.016666666666666666,-9.484373894387879,-1.1550719990970837,0.0,3.102155783839976,8.068152652860576,False,False
1686683024.330176,0.016666666666666666,-10.551786007009737,-1.0674121126218576,0.0,3.2366249947209553,7.304878335006579,False,False
1686683024.3469107,0.016666666666666666,-11.52184922593437,-0.9700632189246328,0.0,3.3583729669710465,6.480784752809112,False,False
1686683024.3636923,0.016666666666666666,-12.385781156380464,-0.8639319304460944,0.0,3.466386046184539,5.604646145615138,False,False
1686683024.380438,0.016666666666666666,-13.135776045299666,-0.7499948889192023,0.0,3.559796815278105,4.685096757324067,False,False
1686683024.3971477,0.016666666666666666,-13.765065923557787,-0.6292898782581204,0.0,3.6378817612335297,3.7305104970954557,False,False
1686683024.4139607,0.016666666666666666,-14.267973153091424,-0.502907229533637,0.0,3.700056936185092,2.7489359324894633,False,False
1686683024.4306867,0.016666666666666666,-14.63995466231771,-0.3719815092262859,0.0,3.7458725350599025,1.74808529675389,False,False
1686683024.447478,0.016666666666666666,-14.877638084001536,-0.23768342168382617,0.0,3.7750072900057603,0.7353719866199209,False,False
1686683024.464252,0.016666666666666666,-14.978849893871438,-0.10121180986990197,0.0,3.787263489782731,-0.28201257739487656,False,False
1686683024.4809864,0.016666666666666666,-14.942635501694133,0.036214392177305044,0.0,3.7825632801594793,-1.2969946913991515,False,False
1686683024.497615,0.016666666666666666,-14.769271086969077,0.17336441472505548,0.0,3.7609467019694875,-2.3025006237507504,False,False
1686683024.5143158,0.016666666666666666,-14.460266817004763,0.30900426996431385,0.0,3.7225716915736484,-3.2913402914799095,False,False
1686683024.5314827,0.016666666666666666,-14.018360953444011,0.441905863560752,0.0,3.6677160200489425,-4.256107245682842,False,False
1686683024.5482285,0.016666666666666666,-13.447504260407284,0.5708566930367276,0.0,3.5967808992875234,-5.189108804861406,False,False
1686683024.5649726,0.016666666666666666,-12.752834087092838,0.6946701733144458,0.0,3.5102957525398324,-6.082338102570803,False,False
1686683024.5816958,0.016666666666666666,-11.94063752051668,0.8121965665761586,0.0,3.4089234508303434,-6.927496774403675,False,False
1686683024.5984395,0.016666666666666666,-11.018303096690016,0.9223344238266638,0.0,3.293465171256912,-7.716073119533875,False,False
1686683024.6151767,0.016666666666666666,-9.994260722732296,1.0240423739577196,0.0,3.1648639525980116,-8.439476037466108,False,False
1686683024.6318953,0.016666666666666666,-8.877909694583144,1.1163510281491522,0.0,3.024206018640257,-9.089220158138588,False,False
1686683024.6485934,0.016666666666666666,-7.679534985691135,1.1983747088920085,0.0,2.8727190160045666,-9.657152738016153,False,False
1686683024.6653376,0.016666666666666666,-6.410212316149736,1.269322669541399,0.0,2.7117664703710034,-10.135708534847819,False,False
